💔,639
💋,619
💖,702
❤,674
😍,383
😘,552
😚,397
🤩,445
😱,797
😖,859
😣,766
😩,640
😫,738
😳,613
😕,1030
😞,934
😓,918
😥,1021
😢,1032
😭,588
😮,343
😲,711
😤,756
😡,1272
😠,1116
😏,630
😬,1086
😒,954
😌,540
😔,618
😴,669
😅,1145
😄,904
😂,756
😊,767
😉,974
😋,418
😜,810
😛,680
😝,751
🤢,868
🤮,970
😷,1306
😵,771
👌,750
👍,878
👏,736
🙌,510
🙏,970
✌,851
😎,625
☺,765
🙈,584
🙊,856
🔥,635
💯,698
🎉,420
