💔,942 #
💋,911 #
💖,930 # 
❤,901 # 
😍,542 # 
😘,797 # 
😚,576 # 
🤩,675 #  
😱,1022
😖,1202
😣,1090
😩,1015
😫,1099
😳,885 # 
😕,1448
😞,1255
😓,1290
😥,1333
😢,1335
😭,887 #
😮,452 # 
😲,969 #
😤,1071
😡,1580
😠,1421
😏,904 #
😬,1473
😒,1396
😌,803 #
😔,942 #
😴,941 #
😅,1573
😄,1226
😂,1064
😊,1009
😉,1304
😋,628 #
😜,1139
😛,933 #
😝,1021
🤢,1227
🤮,1288
😷,1608
😵,1065
👌,993 #
👍,1126
👏,938 #
🙌,681 #
🙏,1188
✌,1144 
😎,875 #
☺,1028
🙈,812 #
🙊,1159
🔥,879 #
💯,972 #
🎉,580 #
